band,fnjy,fnjy_err,mag,mag_err
NIRCam-F090W,96.77781052457672,4.834854903753358,26.435560518697507,0.05424153517530057
NIRCam-F115W,481.7296957091436,4.236470155137284,24.69299145310997,0.009548277942547716
NIRCam-F140M,1811.1790990811849,7.911913560277074,23.25509650550032,0.004742905329278293
NIRCam-F150W,2596.4349604894937,3.4977755791158964,22.864056379527973,0.0014626446031403791
NIRCam-F162M,3828.3272178421785,7.888768232598071,22.44247737235956,0.0022373012529229995
NIRCam-F182M,5500.518144926578,6.350474742497308,22.048990995862848,0.0012535074266941486
NIRCam-F200W,6355.23367000357,3.5050173379650866,21.892171191560344,0.0005988016207957177
NIRCam-F210M,7039.612056806959,7.956633013902788,21.78112818390265,0.0012271705402877636
NIRCam-F250M,10019.927429572892,9.061113612744675,21.397838559707402,0.000981841353036923
NIRCam-F277W,11255.283609529772,3.6602207179760358,21.27160889303982,0.0003530816538063589
NIRCam-F300M,11129.346715228297,6.498196714846947,21.28382581923922,0.0006339390459725599
NIRCam-F356W,15657.077544878666,3.9825754236347333,20.91322324371827,0.00027617071661208814
NIRCam-F360M,20031.055851941222,7.201055796185921,20.645740395289984,0.00039031626930662977
NIRCam-F410M,13916.822566365485,8.185668444696764,21.041149774495665,0.0006386139183834185
NIRCam-F444W,15750.650207100362,6.350910724059455,20.9067537831737,0.00043778597173020693
NIRCam-F460M,18693.6798472624,21.548957319882877,20.720762998552186,0.001251571832199258
