wavelength,flam,flam_err
0.5587169324053721,-1.0490716981925035e-20,3.3534850692496114e-20
0.5620237452009996,-6.870618216730236e-21,3.8117180230269505e-20
0.5653878707062455,1.3711349445271616e-20,2.8216818497534274e-20
0.5688107917896098,-6.316325785610237e-21,3.5945380724132754e-20
0.5722942889862827,5.639215211430001e-20,2.6252886599964778e-20
0.5758398127417115,1.884859080288273e-20,3.2448645649568654e-20
0.5794491964694816,4.721770567944495e-20,2.740024974246256e-20
0.5831242385199349,5.111998637643427e-20,2.485710326566774e-20
0.5868666095731849,2.4399536037029756e-20,2.3520243358751558e-20
0.5906783576585449,-1.3021369707116497e-20,2.039416775489719e-20
0.5945614653954421,2.77249231417127e-20,2.1174964406755245e-20
0.598517842714797,2.7738772443159334e-20,1.9909319705593163e-20
0.602549613597003,1.550185847981998e-20,1.485481857219023e-20
0.6066591193397508,1.4835310726634175e-20,1.7389887595922243e-20
0.6108485287040555,-3.063587017166311e-20,1.694482108258155e-20
0.6151201087614295,2.6726980478432563e-22,1.6571443653599862e-20
0.6194763214939456,-5.217437540021392e-22,1.4653772156184064e-20
0.6239198223899493,4.7874943146826085e-21,1.604916335347695e-20
0.6284531652342071,2.6418803902005902e-20,1.4658290819514874e-20
0.6330790120793015,1.2881410316631087e-20,1.2050155749241822e-20
0.6378001360344843,-1.8540591737931456e-20,1.298701276129421e-20
0.6426194240043188,-4.538542231596585e-22,1.4496742024555748e-20
0.6475399640573128,9.89430822052266e-21,1.1056641739052427e-20
0.652564919097741,1.9652044670120285e-20,1.2414002232752787e-20
0.6576975053049093,1.8691901107293647e-20,1.1101845373724406e-20
0.6629410599167432,3.7199437596703544e-21,1.0950406245801023e-20
0.6682990451376263,2.212886930176134e-20,1.1683001357714967e-20
0.6737750504937825,1.471376735141128e-20,9.205480963079919e-21
0.6793727932575451,1.6247516066274544e-20,9.611469108258742e-21
0.685096120755328,3.353884895701816e-20,8.425399025970204e-21
0.6909490129749664,2.0138732773709038e-20,9.810224362752818e-21
0.6969355817116162,9.744456995428628e-21,8.56539989768045e-21
0.7030600724718354,1.1560026497655081e-20,7.391497678102376e-21
0.7093268674002664,8.575433597642946e-21,8.162408886335631e-21
0.7157405369104755,1.107060762085574e-20,8.274593902112275e-21
0.7223058253367636,2.5893616686253128e-20,6.852953333307057e-21
0.7290275365986447,1.6381878541230314e-20,6.548149666717675e-21
0.7359106076373616,1.3937978535174583e-20,5.955823598276709e-21
0.742960106929894,7.125678630144014e-21,5.813904732748407e-21
0.7501813610405474,1.7508120038736715e-20,5.8288034557101445e-21
0.7575797823077404,1.2500700702050042e-20,5.310789650187867e-21
0.7651608308758224,2.7427418291475e-20,6.166001787934911e-21
0.772930205451272,2.3344397627961454e-20,5.089479057959091e-21
0.7808936977136617,3.0663657179775375e-20,5.511959234414749e-21
0.7890571415640131,1.9078106547701812e-20,5.600261460703818e-21
0.7974266081117796,1.3649653251386673e-20,4.598775472795904e-21
0.8060081096745279,1.1818217839535672e-20,4.412231238605611e-21
0.8148078549630995,1.836512517231915e-20,5.106633770481257e-21
0.8238320198831227,2.6361328725639612e-20,4.565789401338419e-21
0.8330868467656268,2.5684339039557122e-20,4.637167291773568e-21
0.8425785936706854,2.8177995877442407e-20,4.3368468395189405e-21
0.8523134779015903,3.9337751158993824e-20,4.288190927652056e-21
0.862297683323395,3.063102742405627e-20,3.889024424001696e-21
0.8725372930257402,2.846064660607615e-20,4.062080560930105e-21
0.8830382596447854,2.266989350449112e-20,5.365165340340285e-21
0.8938063784407981,3.1908073236241985e-20,4.100648515062557e-21
0.9048472271999145,3.212869027382045e-20,4.2175814765476455e-21
0.9161661214522663,4.3138082933474173e-20,4.221530209938589e-21
0.9277680571501761,3.6792074644615673e-20,3.536892449864574e-21
0.9396576605490611,3.4272627685443997e-20,3.657180554610189e-21
0.9518391416350266,3.4208443632796435e-20,3.958395318032932e-21
0.964316115987264,4.947497624300821e-20,3.7564063853419104e-21
0.9770916794555257,5.272980380218162e-20,3.34469798128154e-21
0.990168400477219,5.006188045764248e-20,3.422926032199265e-21
1.003548108169641,5.0372988722794724e-20,3.3029564430038713e-21
1.0172317518847795,6.189799333189481e-20,3.0134410737613962e-21
1.0312197813627446,7.133117254561493e-20,2.9234985345246987e-21
1.0455113649883845,9.235322136008105e-20,3.454673239655735e-21
1.0601051747209307,9.88105646830643e-20,2.8793855084064033e-21
1.0749987235363379,9.383126905268625e-20,2.803708313494387e-21
1.0901885122454726,8.601491295124596e-20,2.580080333047532e-21
1.1056702342981737,7.833055307107466e-20,3.0606028032445493e-21
1.1214385395230086,9.129897252574108e-20,2.5593145089596924e-21
1.1374870280718172,9.577133560897861e-20,2.61347258355395e-21
1.1538082044705062,1.0596894919982157e-19,3.046391690835013e-21
1.170393786289657,1.1014537049786553e-19,2.43086747932022e-21
1.1872345819840113,1.1951591744014477e-19,2.601077035955914e-21
1.2043205589115493,1.2237347770734472e-19,2.6808242277487957e-21
1.221640829178208,1.324230744859564e-19,2.5167309127656625e-21
1.239183780149213,1.4869926688170085e-19,2.6895985959714423e-21
1.2569372867938209,1.493644624223476e-19,2.4688487201747778e-21
1.274888741326792,1.763003797523535e-19,2.613569402389967e-21
1.2930251496013516,1.9102234934854944e-19,2.9820883217207933e-21
1.3113329735006423,2.0297920929611434e-19,2.6408451213478187e-21
1.3297985679456485,2.138168549288039e-19,2.6366741681012655e-21
1.3484083591877056,2.248381402156453e-19,2.568384410589154e-21
1.367148457443781,2.38928497682745e-19,3.1575738879575713e-21
1.3860052248104098,2.4461319876532117e-19,2.7013903524205513e-21
1.4049652581052927,2.6242606275399577e-19,2.6340177023188687e-21
1.4240151187305408,2.7632385846235404e-19,2.7174076566934408e-21
1.4431420836540367,2.696955805505324e-19,3.152138673718526e-21
1.4623333206691422,2.8162272905234993e-19,2.7135162443797063e-21
1.4815769263008325,2.958538503443813e-19,2.76615507266462e-21
1.500861020398336,3.2408960830360394e-19,2.900501377115039e-21
1.5201746452647844,3.5475132454425484e-19,2.8724083535952936e-21
1.539506984300002,4.398490679531265e-19,3.555829717408741e-21
1.5588481602646425,5.039436986873387e-19,4.321853486506275e-21
1.5781884764731928,4.33787435870551e-19,3.43834790427056e-21
1.5975191694094044,3.923448970690331e-19,4.012715164226471e-21
1.616831726466621,3.9866080294095016e-19,3.3096442685500445e-21
1.6361184759747196,4.3341521547618726e-19,3.6268470153823424e-21
1.655372053948066,4.3251627903336904e-19,3.357649775356348e-21
1.6745858517228351,4.054888788995328e-19,3.5829510675699204e-21
1.693753585519845,4.1690301050855994e-19,3.17254325773714e-21
1.712869656711387,4.255360160404954e-19,3.2930992667849044e-21
1.731928767582919,4.3259211780640885e-19,3.2015876815793637e-21
1.7509262588139904,4.589378296783551e-19,3.0685408240980338e-21
1.7698577228114212,4.715868227374805e-19,3.578223947450899e-21
1.788719323007841,4.859151255197021e-19,3.2269119952078658e-21
1.8075075013368729,4.916969726555813e-19,3.316316895926924e-21
1.8262191261336762,5.075632769536838e-19,3.6225687541548794e-21
1.844851390991783,4.989671259797385e-19,3.104098078373341e-21
1.863401776155185,4.890553884332539e-19,3.0317364428891692e-21
1.8818681161884983,5.001982487892317e-19,3.30491291658753e-21
1.900248463949467,4.860561899323836e-19,3.0817575265668454e-21
1.9185411581257417,4.884183998664116e-19,3.24305279597541e-21
1.936744785420171,4.874810234795334e-19,3.263692783153612e-21
1.9548581140521788,4.891606768259988e-19,2.895485608122018e-21
1.9728801346385687,4.804480171660571e-19,3.3133003287623554e-21
1.9908100301262066,4.810557764763651e-19,2.9132630197635787e-21
2.008647144465826,4.762616486710757e-19,3.1595474504234046e-21
2.026390966196691,4.712490203957855e-19,3.07735621703616e-21
2.0440411405132166,4.655187235878381e-19,3.0569226308453486e-21
2.0615974420196683,4.785285299895774e-19,2.7864354228486574e-21
2.0790597608253925,4.878430074570445e-19,3.1496357719414038e-21
2.096428090996065,4.793362372465805e-19,2.937152559508104e-21
2.113702526001586,4.741824379603834e-19,3.065149343862486e-21
2.1308832498677663,4.7883548115470405e-19,2.793231649527686e-21
2.147970527974919,5.021594993623882e-19,2.7542466508684404e-21
2.1649646957389153,4.910967224970923e-19,2.6863781603679884e-21
2.181866153986507,4.784255916645824e-19,2.794195267180886e-21
2.198675362680219,4.698166608339962e-19,2.69901132123792e-21
2.2153928316565223,4.581488442768532e-19,3.035039429112447e-21
2.2320191203699293,4.438599678944723e-19,2.724668758605808e-21
2.248554827789051,4.384647069738906e-19,2.812262880504397e-21
2.265000590650547,4.518700517235788e-19,2.592832510988424e-21
2.281357077655829,4.651166676239342e-19,2.9041556411587755e-21
2.297624987485916,4.471457762401547e-19,2.665449468457487e-21
2.3138050408060105,4.526935443522851e-19,2.79155083838102e-21
2.3298979825645723,4.489888268817838e-19,2.9364788366029115e-21
2.345904574829114,4.586227584839839e-19,2.5612702483680945e-21
