wavelength,flam,flam_err
2.83,3.7244614981987934e-19,7.745534616181953e-20
2.830634285714286,3.450664598857927e-19,6.100511209868803e-20
2.8312685714285717,4.779775860650286e-19,5.408934271949758e-20
2.8319028571428575,3.4878768498210305e-19,6.954286006648929e-20
2.8325371428571433,3.434004624933916e-19,1.1659160176641724e-19
2.833171428571429,5.349507438096695e-19,6.212783513804155e-20
2.833805714285715,5.985144505214244e-19,1.82823801005782e-19
2.8344400000000007,4.035305041065447e-19,6.107913178765618e-20
2.8350742857142865,3.7932872889475545e-19,8.130465207772724e-20
2.8357085714285724,4.0505284611070504e-19,6.79714365000531e-20
2.836342857142858,3.6075257099966116e-19,5.864444858766377e-20
2.836977142857144,4.634721544724115e-19,6.844831435619147e-20
2.83761142857143,3.3933252642916966e-19,6.972490163999272e-20
2.8382457142857156,4.0239349918691236e-19,6.531486638618814e-20
2.8388800000000014,3.296358131960643e-19,7.254738003757441e-20
2.839514285714287,3.18868271428667e-19,6.951301477963466e-20
2.840148571428573,4.275966816583879e-19,5.750566873031296e-20
2.840782857142859,3.2346956688601303e-19,7.142929582412498e-20
2.8414171428571446,4.0347936400707423e-19,6.140578948644389e-20
2.8420514285714304,3.8960400439371927e-19,6.360062306045726e-20
2.8426857142857163,4.2487738680840224e-19,4.7552057720344383e-20
2.843320000000002,3.9383503339294476e-19,6.980149665712811e-20
2.843954285714288,3.78925325241853e-19,7.425255956176815e-20
2.8445885714285737,3.828195482444795e-19,8.146208739620678e-20
2.8452228571428595,4.168009893290546e-19,7.8504541607867e-20
2.8458571428571453,4.588896980296708e-19,1.4483107981606439e-19
2.846491428571431,4.124710843914195e-19,6.518608591055125e-20
2.847125714285717,4.90423185665085e-19,6.742646041598582e-20
2.8477600000000027,3.7251087303672216e-19,6.905856162620571e-20
2.8483942857142885,3.5753879458457624e-19,7.865587510799512e-20
2.8490285714285744,3.9057920663241217e-19,6.771605022437875e-20
2.84966285714286,3.4192399806409886e-19,5.997337228822485e-20
2.850297142857146,3.6984638834970464e-19,7.369841459177721e-20
2.850931428571432,3.382890229794461e-19,5.3920694441601597e-20
2.8515657142857176,3.115817351087499e-19,5.100059678378929e-20
2.8522000000000034,3.6121914547804405e-19,5.577465617930301e-20
2.852834285714289,5.389861663208428e-19,8.226630169109698e-20
2.853468571428575,4.0887653890709777e-19,5.1311648600205475e-20
2.854102857142861,3.6842308320396844e-19,6.368163987012756e-20
2.8547371428571466,4.643911939925902e-19,7.523580026695231e-20
2.8553714285714324,4.178208800068033e-19,5.875601008840795e-20
2.8560057142857183,3.947484937192047e-19,6.638716350604975e-20
2.856640000000004,4.0381963691046815e-19,6.804362685483745e-20
2.85727428571429,3.331162010000715e-19,7.397923430283376e-20
2.8579085714285757,3.804955027902274e-19,1.5026850476684458e-19
2.8585428571428615,4.996805395799874e-19,7.151029240271878e-20
2.8591771428571473,4.4285677820087265e-19,5.157818115119948e-20
2.859811428571433,4.813705702459566e-19,4.9395302863362575e-20
2.860445714285719,4.985104671473446e-19,5.144133445079182e-20
2.8610800000000047,4.813690586384118e-19,4.87526847525073e-20
2.8617142857142905,4.1227573911035766e-19,3.9930857194058604e-20
2.8623485714285763,4.94310497318133e-19,6.385081207211052e-20
2.862982857142862,3.9147929835923526e-19,6.195062618801709e-20
2.863617142857148,4.8295626570288735e-19,7.009873541609548e-20
2.8642514285714338,3.1606787128385373e-19,6.42015427081074e-20
2.8648857142857196,3.7685705330549846e-19,7.30367881006391e-20
2.8655200000000054,3.998263633998407e-19,6.099725009663933e-20
2.866154285714291,4.979172490115804e-19,4.94545296736476e-20
2.866788571428577,4.954887399379046e-19,6.296075526268635e-20
2.867422857142863,4.112433374218189e-19,6.539839775752603e-20
2.8680571428571486,4.748623268880119e-19,5.201834647085162e-20
2.8686914285714344,4.423601367397217e-19,5.2129936867881186e-20
2.8693257142857203,5.623134037756784e-19,5.0541359705585915e-20
2.869960000000006,4.168821213884608e-19,5.81027953058559e-20
2.870594285714292,5.144785424322393e-19,1.229920827929908e-19
2.8712285714285777,4.580687101523113e-19,8.559101695884294e-20
2.8718628571428635,5.130075671854599e-19,8.239474333065478e-20
2.8724971428571493,5.557870852020302e-19,7.519952938032072e-20
2.873131428571435,6.255133832478995e-19,6.991732151925114e-20
2.873765714285721,5.075629526040598e-19,6.926774099174653e-20
2.8744000000000067,5.313483126030374e-19,6.77014903198068e-20
2.8750342857142925,5.6417394483506555e-19,6.60014508205158e-20
2.8756685714285783,5.753633012833491e-19,5.2200931181512105e-20
2.876302857142864,4.1700855775369254e-19,6.224376086620489e-20
2.87693714285715,5.624892502643419e-19,5.608361756828684e-20
2.8775714285714358,4.200620658952138e-19,5.716365177069411e-20
2.8782057142857216,7.008403604692099e-19,5.223797204528397e-20
2.8788400000000074,6.077555009941923e-19,5.584678029437339e-20
2.879474285714293,3.9665983844177166e-19,6.803128113831117e-20
2.880108571428579,4.991131414142064e-19,5.364329800774822e-20
2.880742857142865,4.880912765214058e-19,5.0846483368391034e-20
2.8813771428571506,5.27241557439741e-19,6.441205285724311e-20
2.8820114285714364,5.164465688111045e-19,6.558770938734886e-20
2.8826457142857222,6.020602289705412e-19,1.2504686263881255e-19
2.883280000000008,5.368097218836219e-19,4.953306399705977e-20
2.883914285714294,5.170212880621066e-19,6.495280188307943e-20
2.8845485714285797,4.288002809890284e-19,4.94855071894318e-20
2.8851828571428655,4.750119570186008e-19,6.2690198665553e-20
2.8858171428571513,5.078743302956521e-19,5.938556668586167e-20
2.886451428571437,4.989718237412791e-19,6.185678019376922e-20
2.887085714285723,4.875250061498881e-19,5.460612831064649e-20
2.8877200000000087,5.187185649368057e-19,5.856591296329152e-20
2.8883542857142945,6.424874805151564e-19,5.441626995074743e-20
2.8889885714285803,5.666872405919265e-19,5.0681164165726983e-20
2.889622857142866,5.318419915189442e-19,6.247211207868871e-20
2.890257142857152,5.119230310433587e-19,5.494194486391877e-20
2.8908914285714378,5.096798015598344e-19,6.523069142581331e-20
2.8915257142857236,4.338811072312062e-19,5.297959164664084e-20
2.8921600000000094,4.966012720368872e-19,5.798371793326198e-20
2.892794285714295,4.736918805090686e-19,5.0855937607174504e-20
2.893428571428581,4.1803141507697637e-19,8.105809538142071e-20
2.894062857142867,4.450765733426949e-19,5.631688905214721e-20
2.8946971428571526,4.0670908496779235e-19,4.331039274199359e-20
2.8953314285714384,5.727314569344598e-19,8.404022929933558e-20
2.8959657142857242,4.1025855986542958e-19,8.409236586939731e-20
2.89660000000001,4.561495905618423e-19,6.263601474904644e-20
2.897234285714296,4.3000277559527994e-19,6.802009903072428e-20
2.8978685714285817,5.023829744252828e-19,5.861599338892908e-20
2.8985028571428675,4.463642111985151e-19,5.496414311457997e-20
2.8991371428571533,4.946513806275008e-19,5.75391397801125e-20
2.899771428571439,4.555962717984028e-19,8.851814356177385e-20
2.900405714285725,4.0752109045485044e-19,5.922321758554806e-20
2.9010400000000107,5.5576333988004195e-19,5.835546282353583e-20
2.9016742857142965,4.865653485283538e-19,6.386100169477222e-20
2.9023085714285823,5.13005622623887e-19,8.842299020264736e-20
2.902942857142868,4.486201615044125e-19,7.917988125164797e-20
2.903577142857154,4.894759885689918e-19,6.77839724307162e-20
